student_IDs,preference
panicky_peacock,"Vanilla, Strawberry, Rocky Road"
cognitive_human,"Chocolate, Strawberry, Rocky Road"
instrumental_metamorphosis,"Chocolate, Strawberry, Mocha"
nonevolutionary_willet,"Chocolate, Pistachio, Mocha"
dandriffy_shoveler,"Chocolate, Mocha, Fudge"
gynophobic_alaskanhusky,"Vanilla, Strawberry, Mocha"
domineering_verdin,"Chocolate, Rocky Road, Pistachio"
senior_xanthareel,"Vanilla, Mocha, Rocky Road"
monocultural_foxhound,"Vanilla, Mocha, Fudge"
exalted_sow,"Chocolate, Rocky Road, Fudge"
stoic_arcticduck,"Chocolate, Pistachio, Rocky Road"
apiological_yak,"Chocolate, Rocky Road, Strawberry"
remorseful_armedcrab,"Chocolate, Mocha, Fudge"
blissful_australianshelduck,"Chocolate, Rocky Road, Mocha"
insomniac_duckbillcat,"Chocolate, Fudge, Rocky Road"
creamcolored_grub,"Chocolate, Fudge, Strawberry"
venal_archaeocete,"Chocolate, Fudge, Pistachio"
palaeophilic_umbrette,"Chocolate, Fudge, Rocky Road"
purplish_goshawk,"Chocolate, Pistachio, Strawberry"
chuckleheaded_stilt,"Vanilla, Pistachio, Fudge"
disillusioned_mouse,"Chocolate, Pistachio, Mocha"
patricidal_andeancockoftherock,"Vanilla, Strawberry, Fudge"
local_xiphosuran,"Chocolate, Fudge, Mocha"
chronometrical_bluebreastedkookaburra,"Chocolate, Pistachio, Rocky Road"
confident_argentinehornedfrog,"Chocolate, Fudge, Mocha"
sportful_teal,"Chocolate, Pistachio, Mocha"
physiological_baboon,"Vanilla, Rocky Road, Pistachio"
amphitheatric_creature,"Chocolate, Rocky Road, Pistachio"
yellow_buck,"Vanilla, Mocha, Fudge"
antioptimistical_ringworm,"Vanilla, Rocky Road, Mocha"
leady_shibainu,"Vanilla, Rocky Road, Pistachio"
underage_hawaiianmonkseal,"Chocolate, Fudge, Pistachio"
convective_dogwoodtwigborer,"Vanilla, Pistachio, Rocky Road"
hippophobic_goose,"Chocolate, Pistachio, Rocky Road"
nonacculturated_beauceron,"Chocolate, Fudge, Rocky Road"
carnelian_gartersnake,"Vanilla, Pistachio, Fudge"
americium_guineafowl,"Chocolate, Strawberry, Fudge"
corduroy_warbler,"Vanilla, Pistachio, Mocha"
uninterested_ptarmigan,"Vanilla, Fudge, Strawberry"
sassy_nematode,"Vanilla, Rocky Road, Fudge"
antiviral_cow,"Vanilla, Strawberry, Pistachio"
haptephobic_gull,"Chocolate, Strawberry, Rocky Road"
crustaceous_irishdraughthorse,"Vanilla, Strawberry, Mocha"
ambigious_hornedtoad,"Vanilla, Fudge, Rocky Road"
hotheaded_krill,"Chocolate, Fudge, Mocha"
stable_germanshepherd,"Chocolate, Pistachio, Fudge"
nonchurchgoing_nyala,"Chocolate, Fudge, Strawberry"
eventempered_birdofparadise,"Chocolate, Strawberry, Mocha"
selfconceited_swan,"Chocolate, Rocky Road, Mocha"
chromatnic_cock,"Chocolate, Strawberry, Pistachio"
selfteaching_magpie,"Chocolate, Strawberry, Fudge"
tattooed_fieldspaniel,"Vanilla, Rocky Road, Mocha"
worried_blackfish,"Chocolate, Rocky Road, Pistachio"
tyrannical_coelacanth,"Chocolate, Pistachio, Mocha"
homey_chital,"Chocolate, Pistachio, Strawberry"
couped_frillneckedlizard,"Chocolate, Fudge, Rocky Road"
involved_beardeddragon,"Chocolate, Strawberry, Pistachio"
little_nandoo,"Chocolate, Rocky Road, Mocha"
warriorlike_americancrocodile,"Chocolate, Pistachio, Strawberry"
oversize_muntjac,"Chocolate, Mocha, Rocky Road"
minor_malamute,"Chocolate, Mocha, Rocky Road"
embracive_globefish,"Chocolate, Mocha, Pistachio"
restrictive_taruca,"Vanilla, Strawberry, Mocha"
reputable_lunamoth,"Chocolate, Mocha, Strawberry"
fabric_bluebottle,"Chocolate, Strawberry, Mocha"
bashful_tilefish,"Chocolate, Fudge, Rocky Road"
subterranean_arrowcrab,"Vanilla, Strawberry, Fudge"
womanly_asp,"Chocolate, Mocha, Fudge"
derivative_europeanfiresalamander,"Chocolate, Fudge, Strawberry"
gymnasial_puppy,"Vanilla, Fudge, Mocha"
nonritualistic_sheep,"Chocolate, Mocha, Rocky Road"
naggy_annashummingbird,"Chocolate, Pistachio, Strawberry"
astronomical_atlanticspadefish,"Vanilla, Pistachio, Strawberry"
odourless_fiddlercrab,"Vanilla, Rocky Road, Strawberry"
heedful_rattail,"Chocolate, Fudge, Rocky Road"
tridymite_blackcrappie,"Vanilla, Strawberry, Mocha"
unworthy_atlanticspadefish,"Vanilla, Rocky Road, Mocha"
preeconomic_groundhog,"Vanilla, Pistachio, Mocha"
rayon_europeanfiresalamander,"Chocolate, Strawberry, Mocha"
sweet_fly,"Chocolate, Rocky Road, Fudge"
ittybitty_mousebird,"Vanilla, Rocky Road, Fudge"
unsightly_velvetworm,"Vanilla, Rocky Road, Mocha"
sericultural_equine,"Vanilla, Strawberry, Fudge"
dry_annashummingbird,"Chocolate, Strawberry, Fudge"
southernmost_copepod,"Vanilla, Fudge, Mocha"
humoristic_jellyfish,"Vanilla, Fudge, Rocky Road"
gastric_bettong,"Vanilla, Mocha, Rocky Road"
antigravitational_mongoose,"Chocolate, Pistachio, Mocha"
charitable_kob,"Vanilla, Strawberry, Fudge"
condensable_americanbittern,"Chocolate, Rocky Road, Strawberry"
susceptible_boaconstrictor,"Vanilla, Pistachio, Fudge"
pentangular_blacknorwegianelkhound,"Chocolate, Pistachio, Strawberry"
unsanitized_barracuda,"Chocolate, Rocky Road, Pistachio"
overburdened_kiskadee,"Vanilla, Fudge, Pistachio"
extranuclear_kinglet,"Chocolate, Rocky Road, Pistachio"
overdestructive_squirrel,"Chocolate, Fudge, Mocha"
errable_beauceron,"Chocolate, Rocky Road, Fudge"
everyday_gemsbuck,"Chocolate, Pistachio, Rocky Road"
paradoxal_kudu,"Vanilla, Fudge, Mocha"
gadgety_grub,"Chocolate, Pistachio, Fudge"
piratic_northernelephantseal,"Vanilla, Strawberry, Mocha"
hexed_mule,"Chocolate, Rocky Road, Mocha"
dissatisfied_snowmonkey,"Chocolate, Strawberry, Mocha"
weary_americansaddlebred,"Chocolate, Fudge, Mocha"
psychogenic_kakarikis,"Vanilla, Strawberry, Pistachio"
continual_adeliepenguin,"Vanilla, Strawberry, Pistachio"
titanous_americancrow,"Vanilla, Pistachio, Rocky Road"
reliable_emperorshrimp,"Vanilla, Fudge, Mocha"
teal_starling,"Vanilla, Strawberry, Rocky Road"
frouzy_coyote,"Chocolate, Mocha, Rocky Road"
necrophagous_gibbon,"Vanilla, Rocky Road, Pistachio"
oriental_buckeyebutterfly,"Chocolate, Strawberry, Pistachio"
aqueous_polliwog,"Chocolate, Strawberry, Mocha"
dippy_cirriped,"Chocolate, Mocha, Pistachio"
smalltime_tragopan,"Vanilla, Rocky Road, Strawberry"
aware_mole,"Chocolate, Mocha, Pistachio"
cleanable_antlion,"Vanilla, Strawberry, Mocha"
taming_americancurl,"Chocolate, Pistachio, Strawberry"
haywire_albatross,"Vanilla, Strawberry, Rocky Road"
continuous_puppy,"Chocolate, Fudge, Strawberry"
georgiaite_chevrotain,"Chocolate, Strawberry, Rocky Road"
intercranial_uromastyxspinipes,"Chocolate, Strawberry, Rocky Road"
certificatory_mockingbird,"Chocolate, Rocky Road, Strawberry"
diamant_xiphias,"Chocolate, Rocky Road, Fudge"
wormish_rottweiler,"Vanilla, Mocha, Pistachio"
waterborne_macaque,"Vanilla, Pistachio, Rocky Road"
agate_deinonychus,"Vanilla, Mocha, Strawberry"
persnickety_seahog,"Vanilla, Pistachio, Strawberry"
paleopsychological_whippoorwill,"Vanilla, Strawberry, Mocha"
metamorphic_zander,"Vanilla, Rocky Road, Fudge"
fair_leafcutterant,"Vanilla, Rocky Road, Strawberry"
indigoid_pitbull,"Vanilla, Rocky Road, Strawberry"
therapeutic_mule,"Vanilla, Pistachio, Mocha"
uncheerful_gelding,"Vanilla, Mocha, Strawberry"
heartwhole_eft,"Vanilla, Rocky Road, Pistachio"
hasteless_hippopotamus,"Chocolate, Rocky Road, Fudge"
expedient_bass,"Chocolate, Mocha, Pistachio"
nonprophetical_songbird,"Chocolate, Pistachio, Mocha"
albinistic_africanporcupine,"Chocolate, Fudge, Mocha"
zincky_sableantelope,"Vanilla, Rocky Road, Mocha"
paediatric_galago,"Chocolate, Fudge, Strawberry"
existent_gartersnake,"Vanilla, Mocha, Rocky Road"
communicatory_americanwigeon,"Vanilla, Fudge, Strawberry"
intragovernmental_dikdik,"Chocolate, Rocky Road, Strawberry"
petulant_wildebeest,"Vanilla, Pistachio, Strawberry"
unirritable_junebug,"Vanilla, Rocky Road, Pistachio"
delectable_badger,"Vanilla, Pistachio, Rocky Road"
subsolar_stegosaurus,"Vanilla, Strawberry, Mocha"
befuddling_borer,"Chocolate, Mocha, Fudge"
misanthropic_nightingale,"Vanilla, Rocky Road, Strawberry"
unspecialized_iberianemeraldlizard,"Chocolate, Pistachio, Rocky Road"
tenderhearted_titi,"Chocolate, Fudge, Strawberry"
deep_urial,"Chocolate, Pistachio, Strawberry"
transcrystalline_dorado,"Vanilla, Pistachio, Rocky Road"
leftist_cheetah,"Chocolate, Mocha, Rocky Road"
archeological_asiantrumpetfish,"Chocolate, Rocky Road, Strawberry"
crazy_chevrotain,"Chocolate, Rocky Road, Fudge"
condensational_rook,"Chocolate, Mocha, Pistachio"
gastrovascular_shrike,"Vanilla, Rocky Road, Mocha"
acidforming_shihtzu,"Vanilla, Rocky Road, Pistachio"
pugnacious_lowchen,"Chocolate, Mocha, Fudge"
pancreatic_nijssenissdwarfchihlid,"Vanilla, Mocha, Fudge"
unlovely_waterdogs,"Vanilla, Rocky Road, Pistachio"
illdisposed_zebrafish,"Chocolate, Mocha, Strawberry"
derivational_galapagosmockingbird,"Chocolate, Rocky Road, Pistachio"
hyperangelic_yellowjacket,"Vanilla, Rocky Road, Mocha"
skilled_dodo,"Vanilla, Fudge, Strawberry"
botchy_burro,"Vanilla, Strawberry, Fudge"
dorsispinal_icelandichorse,"Chocolate, Fudge, Rocky Road"
agile_dogfish,"Vanilla, Pistachio, Rocky Road"
fireretardant_rottweiler,"Vanilla, Strawberry, Fudge"
isopolitical_americancrayfish,"Chocolate, Strawberry, Rocky Road"
civilized_rainbowlorikeet,"Vanilla, Fudge, Strawberry"
beggarly_bergerpicard,"Vanilla, Rocky Road, Strawberry"
mazelike_nighthawk,"Chocolate, Fudge, Rocky Road"
ruby_gypsymoth,"Vanilla, Strawberry, Rocky Road"
poachable_atlanticblackgoby,"Chocolate, Mocha, Rocky Road"
gossipy_peccary,"Vanilla, Pistachio, Fudge"
converted_foxterrier,"Vanilla, Pistachio, Strawberry"
chargeable_bluetonguelizard,"Vanilla, Strawberry, Pistachio"
sublimational_megalosaurus,"Vanilla, Rocky Road, Strawberry"
regrettable_norwayrat,"Chocolate, Fudge, Rocky Road"
inextinguishable_vampirebat,"Vanilla, Pistachio, Fudge"
viceregal_schipperke,"Vanilla, Rocky Road, Pistachio"
ophthalmological_harrierhawk,"Vanilla, Mocha, Strawberry"
nonproift_xenops,"Chocolate, Mocha, Fudge"
undefeatable_blacknorwegianelkhound,"Vanilla, Pistachio, Strawberry"
becoming_atlanticsharpnosepuffer,"Chocolate, Rocky Road, Fudge"
pedagogical_irrawaddydolphin,"Chocolate, Fudge, Strawberry"
short_heterodontosaurus,"Vanilla, Mocha, Fudge"
unpleasing_spiketail,"Vanilla, Fudge, Rocky Road"
dreamlike_fulmar,"Vanilla, Strawberry, Mocha"
attack_arabianoryx,"Vanilla, Pistachio, Strawberry"
asyllabic_alpinegoat,"Chocolate, Rocky Road, Pistachio"
cryptographical_canine,"Vanilla, Strawberry, Mocha"
rockable_azurevasesponge,"Chocolate, Fudge, Mocha"
witching_anhinga,"Chocolate, Strawberry, Rocky Road"
fizzy_pussycat,"Vanilla, Strawberry, Mocha"
wayward_wildebeast,"Vanilla, Pistachio, Strawberry"
decomposed_basilisk,"Vanilla, Fudge, Strawberry"
medical_grasshopper,"Vanilla, Pistachio, Fudge"
antarthritic_collardlizard,"Vanilla, Rocky Road, Mocha"
cottony_mouflon,"Vanilla, Rocky Road, Mocha"
turtleshell_scarletibis,"Chocolate, Strawberry, Mocha"
werewolflike_bushsqueaker,"Chocolate, Mocha, Pistachio"
freezable_sanddollar,"Vanilla, Rocky Road, Pistachio"
sweettempered_robberfly,"Vanilla, Mocha, Fudge"
livid_firefly,"Chocolate, Fudge, Pistachio"
collective_rockrat,"Vanilla, Mocha, Pistachio"
unkindhearted_scarab,"Chocolate, Mocha, Strawberry"
dizzy_amazontreeboa,"Chocolate, Pistachio, Mocha"
managing_copepod,"Vanilla, Fudge, Strawberry"
oceanic_zebraswallowtailbutterfly,"Chocolate, Strawberry, Pistachio"
alphameric_lynx,"Vanilla, Fudge, Pistachio"
downtrodden_collie,"Chocolate, Strawberry, Rocky Road"
peachy_myna,"Chocolate, Rocky Road, Pistachio"
deferable_weevil,"Chocolate, Fudge, Strawberry"
revengeful_degus,"Chocolate, Mocha, Strawberry"
siderophyllite_rabbit,"Vanilla, Mocha, Pistachio"
chivalrous_schipperke,"Chocolate, Strawberry, Fudge"
superbeloved_caecilian,"Chocolate, Strawberry, Pistachio"
hygrophilic_silkworm,"Vanilla, Pistachio, Rocky Road"
miry_tapaculo,"Vanilla, Strawberry, Fudge"
handdrawn_drake,"Vanilla, Fudge, Rocky Road"
reedy_belugawhale,"Vanilla, Fudge, Pistachio"
metalline_chamois,"Vanilla, Rocky Road, Fudge"
nonacademical_coyote,"Vanilla, Rocky Road, Strawberry"
brittle_hornedtoad,"Vanilla, Mocha, Pistachio"
astrophilic_barnowl,"Chocolate, Mocha, Rocky Road"
fluffy_chicken,"Chocolate, Rocky Road, Pistachio"
geographical_queenant,"Vanilla, Fudge, Rocky Road"
cryptozoic_chuckwalla,"Chocolate, Rocky Road, Strawberry"
marmatite_chanticleer,"Chocolate, Rocky Road, Pistachio"
statistical_grunion,"Chocolate, Pistachio, Strawberry"
saddened_opossum,"Vanilla, Fudge, Strawberry"
superangelic_fantail,"Vanilla, Mocha, Strawberry"
fishable_erne,"Chocolate, Rocky Road, Fudge"
heartwhole_nautilus,"Chocolate, Rocky Road, Mocha"
congregational_joey,"Chocolate, Rocky Road, Fudge"
cerise_javalina,"Vanilla, Fudge, Mocha"
incognisant_bluetonguelizard,"Chocolate, Mocha, Rocky Road"
acidulous_americancurl,"Chocolate, Rocky Road, Fudge"
gratuitous_pitbull,"Vanilla, Fudge, Strawberry"
priceless_huia,"Chocolate, Mocha, Fudge"
bleak_hoatzin,"Chocolate, Fudge, Strawberry"
pseudozoological_ilsamochadegu,"Vanilla, Fudge, Mocha"
cuddly_gorilla,"Chocolate, Fudge, Strawberry"
confined_americansaddlebred,"Vanilla, Strawberry, Mocha"
concretionary_tegus,"Vanilla, Rocky Road, Fudge"
disconsolate_banteng,"Vanilla, Strawberry, Pistachio"
garlicky_atlanticbluetang,"Vanilla, Mocha, Rocky Road"
inherited_andalusianhorse,"Chocolate, Pistachio, Strawberry"
paleozoologic_raven,"Chocolate, Strawberry, Rocky Road"
kosher_burro,"Vanilla, Rocky Road, Strawberry"
acceptable_marlin,"Vanilla, Fudge, Strawberry"
frouzy_watussi,"Vanilla, Strawberry, Rocky Road"
full_leveret,"Vanilla, Strawberry, Fudge"
detachable_japanesebeetle,"Vanilla, Strawberry, Rocky Road"
creamy_barasingha,"Chocolate, Fudge, Mocha"
bediasite_norwayrat,"Vanilla, Pistachio, Rocky Road"
unalphabetic_gelada,"Vanilla, Pistachio, Fudge"
symbolic_longhornbeetle,"Vanilla, Mocha, Strawberry"
vermicular_globefish,"Vanilla, Pistachio, Rocky Road"
swinish_auklet,"Chocolate, Fudge, Mocha"
dirgeful_gerbil,"Chocolate, Rocky Road, Pistachio"
aerodynamic_whale,"Vanilla, Mocha, Strawberry"
weary_roadrunner,"Vanilla, Pistachio, Strawberry"
carroty_kangaroo,"Vanilla, Rocky Road, Mocha"
rubbly_darklingbeetle,"Vanilla, Pistachio, Fudge"
convenable_okapi,"Chocolate, Mocha, Strawberry"
runty_flee,"Vanilla, Pistachio, Rocky Road"
herpetologic_nematode,"Vanilla, Strawberry, Rocky Road"
halfwhite_noctilio,"Vanilla, Rocky Road, Pistachio"
alphabetical_racerunner,"Chocolate, Fudge, Strawberry"
soldierlike_blackbuck,"Chocolate, Strawberry, Pistachio"
hallucinative_oxen,"Vanilla, Mocha, Rocky Road"
chromophobic_pomeranian,"Vanilla, Fudge, Pistachio"
destructive_bonobo,"Chocolate, Fudge, Rocky Road"
misogynic_scarletibis,"Vanilla, Pistachio, Strawberry"
promonarchy_bedbug,"Vanilla, Rocky Road, Strawberry"
guiltless_trout,"Chocolate, Fudge, Pistachio"
crying_olm,"Vanilla, Rocky Road, Strawberry"
antiheroic_goosefish,"Vanilla, Strawberry, Rocky Road"
urban_barracuda,"Chocolate, Rocky Road, Pistachio"
cocky_porcupine,"Vanilla, Fudge, Mocha"
femoral_gazelle,"Vanilla, Rocky Road, Strawberry"
gummy_finnishspitz,"Vanilla, Mocha, Strawberry"
paraffin_walleye,"Chocolate, Fudge, Pistachio"
symphonious_roebuck,"Chocolate, Pistachio, Rocky Road"
cut_archerfish,"Chocolate, Fudge, Mocha"
disgraceful_starfish,"Chocolate, Strawberry, Fudge"
ignored_marten,"Chocolate, Mocha, Rocky Road"
linguistic_yeti,"Vanilla, Mocha, Fudge"
tautological_quokka,"Vanilla, Rocky Road, Pistachio"
airborne_sableantelope,"Vanilla, Rocky Road, Fudge"
baby_nettlefish,"Chocolate, Fudge, Strawberry"
deformative_reynard,"Vanilla, Pistachio, Strawberry"
succinct_noolbenger,"Vanilla, Rocky Road, Mocha"
teenyweeny_hammerkop,"Chocolate, Mocha, Fudge"
apian_quoll,"Vanilla, Strawberry, Mocha"
soppy_owlbutterfly,"Chocolate, Mocha, Strawberry"
nontheatrical_basenji,"Vanilla, Pistachio, Strawberry"
warmish_australiankestrel,"Chocolate, Mocha, Strawberry"
nonacculturated_furseal,"Chocolate, Mocha, Pistachio"
convictive_bug,"Vanilla, Pistachio, Mocha"
lagging_snipe,"Chocolate, Strawberry, Mocha"
ostentatious_iberianlynx,"Vanilla, Pistachio, Rocky Road"
joking_goldfish,"Chocolate, Rocky Road, Mocha"
grouchy_blackmamba,"Chocolate, Strawberry, Mocha"
crystal_vipersquid,"Chocolate, Pistachio, Fudge"
motionless_asiansmallclawedotter,"Vanilla, Strawberry, Pistachio"
renegotiable_gonolek,"Vanilla, Rocky Road, Strawberry"
adversarial_fluke,"Vanilla, Strawberry, Mocha"
snowy_dogfish,"Vanilla, Rocky Road, Strawberry"
pinkish_echidna,"Vanilla, Pistachio, Rocky Road"
planetoidal_zebratailedlizard,"Chocolate, Mocha, Fudge"
horsy_seagull,"Vanilla, Fudge, Pistachio"
unpleasant_yellowbelliedmarmot,"Vanilla, Strawberry, Fudge"
fameless_sable,"Chocolate, Strawberry, Fudge"
shamanic_otter,"Chocolate, Mocha, Fudge"
dirtyfaced_flee,"Vanilla, Strawberry, Rocky Road"
registerable_shelduck,"Vanilla, Strawberry, Fudge"
gaseous_desertpupfish,"Vanilla, Mocha, Fudge"
dainty_unau,"Vanilla, Pistachio, Mocha"
snoopy_africanaugurbuzzard,"Chocolate, Pistachio, Fudge"
chosen_pittabird,"Vanilla, Strawberry, Mocha"
bairnly_beauceron,"Chocolate, Strawberry, Fudge"
etymologic_bubblefish,"Vanilla, Fudge, Mocha"
assiduous_bobcat,"Vanilla, Fudge, Strawberry"
unalphabetical_grub,"Vanilla, Mocha, Pistachio"
semantic_quadrisectus,"Vanilla, Rocky Road, Fudge"
underage_ballpython,"Chocolate, Mocha, Fudge"
unlight_wattlebird,"Vanilla, Mocha, Fudge"
exploding_raccoon,"Chocolate, Pistachio, Mocha"
fermentable_chafer,"Vanilla, Pistachio, Strawberry"
animalistic_queenalexandrasbirdwingbutterfly,"Vanilla, Fudge, Strawberry"
astrobiological_swordfish,"Chocolate, Pistachio, Rocky Road"
quasischolastic_ibex,"Chocolate, Pistachio, Mocha"
castoff_dobermanpinscher,"Vanilla, Rocky Road, Fudge"
furred_canadagoose,"Vanilla, Pistachio, Mocha"
karmic_nyala,"Vanilla, Pistachio, Mocha"
chiselled_velvetcrab,"Chocolate, Strawberry, Pistachio"
flavoury_brant,"Vanilla, Strawberry, Pistachio"
transparent_harvestmen,"Vanilla, Fudge, Rocky Road"
automatic_quahog,"Vanilla, Strawberry, Pistachio"
egoistic_bluebreastedkookaburra,"Vanilla, Rocky Road, Strawberry"
unsympathetic_gourami,"Vanilla, Rocky Road, Pistachio"
pleased_gangesdolphin,"Chocolate, Rocky Road, Mocha"
flattish_limpet,"Vanilla, Rocky Road, Mocha"
potty_galapagospenguin,"Chocolate, Rocky Road, Mocha"
redoubtable_hog,"Chocolate, Mocha, Rocky Road"
foggy_coelacanth,"Vanilla, Pistachio, Strawberry"
strontium_bluebottlejellyfish,"Vanilla, Fudge, Strawberry"
cerise_barnowl,"Vanilla, Pistachio, Mocha"
crystalloidal_germanshepherd,"Vanilla, Strawberry, Rocky Road"
bonny_agama,"Chocolate, Rocky Road, Pistachio"
nonmystic_chihuahua,"Vanilla, Pistachio, Fudge"
tin_waterbuck,"Chocolate, Mocha, Pistachio"
asteria_carp,"Vanilla, Pistachio, Mocha"
