"","student_IDs","Preference_1","Preference_2","Preference_3","reported_date","sex","height_text","cleaned_heigths_data"
"22","deliberative_liger","Chocolate","Mocha","Rocky Road",2015-12-16 11:24:00,"Male","67",67
"23","anthropoid_raccoon","Vanilla","Strawberry","Mocha",2014-09-03 21:34:00,"Female","64",64
"24","vanillic_janenschia","Vanilla","Pistachio","Rocky Road",2014-12-28 03:30:00,"Male","66",66
"25","deformable_hummingbird","Vanilla","Pistachio","Fudge",2015-05-27 08:57:00,"Male","89",89
"26","proscholastic_nabarlek","Vanilla","Fudge","Rocky Road",2014-09-02 15:16:00,"Male","73",73
"27","priestless_asiandamselfly","Chocolate","Strawberry","Rocky Road",2015-09-09 18:34:00,"Female","64",64
"28","statuelike_solenodon","Chocolate","Pistachio","Rocky Road",2014-09-06 21:26:00,"Male","68",68
"29","consummate_albacoretuna","Chocolate","Mocha","Pistachio",2014-09-04 02:10:00,"Male","67",67
"30","supportive_atlanticbluetang","Vanilla","Pistachio","Mocha",2016-02-03 13:09:00,"Male","5.69",68.28
"31","corrupted_indusriverdolphin","Chocolate","Strawberry","Pistachio",2014-09-02 15:16:00,"Male","71",71
"32","elvish_nakedmolerat","Chocolate","Fudge","Pistachio",2015-04-02 19:24:00,"Male","77",77
"33","lamproite_mantid","Vanilla","Mocha","Strawberry",2014-09-02 15:16:00,"Male","69",69
"34","credible_taruca","Vanilla","Fudge","Rocky Road",2014-09-15 07:56:00,"Male","5.9",70.8
"35","crafty_cobra","Chocolate","Fudge","Rocky Road",2015-01-11 17:09:00,"Male","184",184
"36","hexahedral_eastsiberianlaika","Vanilla","Strawberry","Pistachio",2017-06-19 04:20:00,"Male","170 cm",66.92917
"37","sibling_galapagostortoise","Vanilla","Pistachio","Mocha",2015-02-25 07:11:00,"Male","172",172
"38","scribophobic_bumblebee","Vanilla","Fudge","Pistachio",2014-09-07 16:33:00,"Male","175",175
"39","unholy_stoat","Vanilla","Mocha","Fudge",2017-04-16 15:19:00,"Male","68",68
"40","crushable_milkweedbug","Vanilla","Mocha","Fudge",2014-09-03 23:47:00,"Male","70",70
"41","androphagous_erne","Chocolate","Rocky Road","Fudge",2014-09-02 15:16:00,"Male","66",66
"42","glaciologic_wryneck","Chocolate","Fudge","Pistachio",2015-03-12 14:14:00,"Male","63",63
"43","unfeared_purplemarten","Vanilla","Pistachio","Rocky Road",2016-05-14 05:40:00,"Male","68",68
"44","preartistic_yosemitetoad","Chocolate","Fudge","Pistachio",2014-09-02 15:17:00,"Male","66.5",66.5
"45","distrustful_myotis","Chocolate","Mocha","Rocky Road",2015-11-08 16:32:00,"Male","69",69
"46","pitchdark_buckeyebutterfly","Vanilla","Mocha","Fudge",2015-06-07 14:28:00,"Male","68",68
"47","generic_hamadryas","Chocolate","Rocky Road","Pistachio",2016-01-26 09:55:00,"Male","75",75
"48","unthinkable_rat","Vanilla","Pistachio","Strawberry",2014-10-27 06:09:00,"Male","69",69
"49","lignite_riograndeescuerzo","Vanilla","Strawberry","Pistachio",2016-01-26 13:25:00,"Male","5'10",70
"50","stricken_amoeba","Vanilla","Fudge","Pistachio",2014-09-02 15:16:00,"Female","67",67
"51","terrorful_sphinx","Chocolate","Pistachio","Rocky Road",2015-04-21 11:32:00,"Male","68",68
"52","streaky_uintagroundsquirrel","Vanilla","Strawberry","Rocky Road",2016-12-13 20:34:00,"Male","70",70
"53","planispherical_wasp","Vanilla","Pistachio","Mocha",2014-09-02 15:16:00,"Male","74",74
"54","shocked_indigowingedparrot","Vanilla","Pistachio","Strawberry",2016-05-07 09:10:00,"Male","6 04",76
"55","semiacidic_boaconstrictor","Chocolate","Rocky Road","Mocha",2016-06-15 08:44:00,"Female","79",79
"56","nonrationalistical_bantamrooster","Chocolate","Strawberry","Pistachio",2015-03-09 19:46:00,"Male","67",67
"57","picturesque_pupfish","Vanilla","Strawberry","Rocky Road",2015-09-21 07:26:00,"Male","70",70
"58","monarchical_newtnutria","Chocolate","Rocky Road","Mocha",2014-10-29 04:28:00,"Male","67",67
"59","determinative_quahog","Vanilla","Rocky Road","Mocha",2015-03-16 13:14:00,"Male","172",172
"60","misogynic_gelding","Vanilla","Pistachio","Mocha",2014-09-02 15:16:00,"Male","70",70
"61","polynuclear_bufeo","Chocolate","Mocha","Strawberry",2014-09-02 15:17:00,"Male","71",71
"62","droll_basilisk","Vanilla","Rocky Road","Strawberry",2014-09-02 16:45:00,"Male","68",68
"63","duskish_mastiff","Chocolate","Mocha","Pistachio",2016-01-26 10:40:00,"Female","63",63
"64","expensive_horseshoecrab","Vanilla","Pistachio","Fudge",2014-09-02 15:16:00,"Male","72",72
"65","pintsize_octopus","Chocolate","Pistachio","Fudge",2014-09-02 15:19:00,"Female","70",70
"66","unodoriferous_arrowana","Chocolate","Rocky Road","Strawberry",2014-09-02 15:16:00,"Male","66",66
"67","nonsecular_sturgeon","Vanilla","Strawberry","Pistachio",2014-09-02 15:16:00,"Male","68",68
"68","palaeobotanic_dotterel","Vanilla","Mocha","Strawberry",2016-05-23 02:01:00,"Male","5.5",66
"69","dandriffy_cleanerwrasse","Vanilla","Strawberry","Pistachio",2014-09-02 15:16:00,"Male","71",71
"70","increased_eyra","Chocolate","Rocky Road","Strawberry",2014-09-02 15:16:00,"Male","511",511
"71","wellknown_germanspitz","Vanilla","Mocha","Rocky Road",2015-04-30 17:05:00,"Male","69",69
"72","reanalyzable_waterbug","Vanilla","Rocky Road","Strawberry",2016-01-26 09:56:00,"Female","67",67
"73","presentient_jenny","Chocolate","Mocha","Pistachio",2016-01-26 18:57:00,"Female","62",62
"74","apiologic_pygmy","Chocolate","Fudge","Rocky Road",2017-07-09 13:35:00,"Male","157",157
"75","fierce_chanticleer","Vanilla","Fudge","Mocha",2015-02-25 11:07:00,"Male","72",72
"76","palish_hogget","Vanilla","Strawberry","Fudge",2014-09-02 15:17:00,"Female","59",59
"77","beamish_vulpesvulpes","Chocolate","Mocha","Rocky Road",2014-11-28 12:18:00,"Male","214",214
"78","undrinkable_harvestmouse","Vanilla","Strawberry","Rocky Road",2016-01-26 09:49:00,"Male","172",172
"79","spheral_scoter","Chocolate","Fudge","Rocky Road",2016-02-06 17:52:00,"Female","164",164
"80","lowly_flounder","Chocolate","Mocha","Strawberry",2014-09-23 16:33:00,"Male","71",71
"81","costly_xenopterygii","Chocolate","Mocha","Pistachio",2016-01-12 08:42:00,"Male","69.29",69.29
"82","untheologic_verdin","Chocolate","Fudge","Pistachio",2016-01-26 09:51:00,"Male","75",75
"83","forgeable_hydra","Vanilla","Strawberry","Pistachio",2016-01-18 16:49:00,"Male","66",66
"84","acidy_stagbeetle","Vanilla","Rocky Road","Strawberry",2016-07-30 18:25:00,"Male","158",158
"85","thermodynamic_metalmarkbutterfly","Vanilla","Fudge","Mocha",2015-01-25 05:30:00,"Male","68",68
"86","leachy_centipede","Vanilla","Pistachio","Fudge",2016-01-05 10:05:00,"Male","76",76
"87","carnivoral_xantusmurrelet","Vanilla","Pistachio","Strawberry",2015-09-25 04:59:00,"Male","68",68
"88","vinicultural_fieldspaniel","Vanilla","Strawberry","Pistachio",2017-03-23 08:17:00,"Male","68.9",68.9
"89","corrupting_marten","Chocolate","Strawberry","Rocky Road",2015-09-21 11:35:00,"Female","66.1417",66.1417
"90","curium_inexpectatumpleco","Chocolate","Strawberry","Mocha",2016-01-25 08:16:00,"Female","64.2",64.2
"91","grownup_gibbon","Chocolate","Rocky Road","Fudge",2016-05-02 20:07:00,"Male","158",158
"92","diffractive_woodnymphbutterfly","Chocolate","Pistachio","Rocky Road",2015-05-31 22:01:00,"Male","68",68
"93","tainted_irishwaterspaniel","Chocolate","Rocky Road","Strawberry",2017-02-06 09:57:00,"Male","6'4",76
"94","autonomous_tayra","Vanilla","Strawberry","Rocky Road",2016-03-29 20:46:00,"Male","64.9",64.9
"95","uncalorific_sugarglider","Vanilla","Rocky Road","Fudge",2014-11-03 04:59:00,"Male","69.3",69.3
"96","homicidal_macaque","Vanilla","Strawberry","Pistachio",2014-12-12 19:52:00,"Male","66",66
"97","nonartistic_portuguesemanofwar","Chocolate","Pistachio","Strawberry",2015-08-28 09:33:00,"Female","74",74
"98","ranidaphobic_bellsnake","Chocolate","Fudge","Mocha",2014-09-02 15:16:00,"Male","67",67
"99","circumstantial_trumpeterbird","Chocolate","Strawberry","Rocky Road",2016-01-26 03:51:00,"Female","67",67
"100","honeysweet_hartebeest","Chocolate","Pistachio","Rocky Road",2015-06-26 08:01:00,"Male","68.5",68.5
"101","complicated_italiangreyhound","Chocolate","Pistachio","Mocha",2015-08-15 19:33:00,"Male","69",69
"102","superstylish_equestrian","Chocolate","Fudge","Mocha",2016-01-26 10:44:00,"Male","67",67
"103","ionic_cardinal","Vanilla","Rocky Road","Mocha",2016-02-18 09:55:00,"Male","86",86
"104","supernaturalistic_albatross","Vanilla","Strawberry","Pistachio",2014-09-02 15:19:00,"Female","67",67
"105","panicky_peacock","Vanilla","Strawberry","Rocky Road",2015-10-04 01:38:00,"Male","67.2",67.2
"106","cognitive_human","Chocolate","Strawberry","Rocky Road",2016-05-23 00:28:00,"Male","66",66
"107","instrumental_metamorphosis","Chocolate","Strawberry","Mocha",2015-11-11 19:47:00,"Male","174",174
"108","nonevolutionary_willet","Chocolate","Pistachio","Mocha",2014-12-26 10:00:00,"Male","190",190
"109","dandriffy_shoveler","Chocolate","Mocha","Fudge",2015-03-12 11:27:00,"Male","72",72
"110","gynophobic_alaskanhusky","Vanilla","Strawberry","Mocha",2014-09-02 15:17:00,"Female","64",64
"111","domineering_verdin","Chocolate","Rocky Road","Pistachio",2016-02-05 16:50:00,"Male","182",182
"112","senior_xanthareel","Vanilla","Mocha","Rocky Road",2014-12-22 12:35:00,"Female","65",65
"113","monocultural_foxhound","Vanilla","Mocha","Fudge",2016-01-26 23:08:00,"Male","167",167
"114","exalted_sow","Chocolate","Rocky Road","Fudge",2017-08-07 05:28:00,"Male","63",63
"115","stoic_arcticduck","Chocolate","Pistachio","Rocky Road",2015-06-25 12:16:00,"Male","70",70
"116","apiological_yak","Chocolate","Rocky Road","Strawberry",2017-03-27 18:49:00,"Male","71",71
"117","remorseful_armedcrab","Chocolate","Mocha","Fudge",2015-03-19 06:28:00,"Female","66",66
"118","blissful_australianshelduck","Chocolate","Rocky Road","Mocha",2014-09-02 15:17:00,"Male","69",69
"119","insomniac_duckbillcat","Chocolate","Fudge","Rocky Road",2014-10-31 04:08:00,"Male","68",68
"120","creamcolored_grub","Chocolate","Fudge","Strawberry",2016-01-25 08:15:00,"Female","69",69
"121","venal_archaeocete","Chocolate","Fudge","Pistachio",2014-10-24 10:59:00,"Female","5'2",62
"122","palaeophilic_umbrette","Chocolate","Fudge","Rocky Road",2014-09-02 15:17:00,"Male","71.7",71.7
"123","purplish_goshawk","Chocolate","Pistachio","Strawberry",2014-09-02 15:16:00,"Female","64.1732",64.1732
"124","chuckleheaded_stilt","Vanilla","Pistachio","Fudge",2015-01-03 19:40:00,"Male","68.5",68.5
"125","disillusioned_mouse","Chocolate","Pistachio","Mocha",2015-10-04 02:10:00,"Male","69",69
"126","patricidal_andeancockoftherock","Vanilla","Strawberry","Fudge",2014-09-02 15:17:00,"Female","65",65
"127","local_xiphosuran","Chocolate","Fudge","Mocha",2017-04-20 05:35:00,"Male","67",67
"128","chronometrical_bluebreastedkookaburra","Chocolate","Pistachio","Rocky Road",2014-11-03 12:57:00,"Male","169",169
"129","confident_argentinehornedfrog","Chocolate","Fudge","Mocha",2016-08-21 18:50:00,"Male","81",81
"130","sportful_teal","Chocolate","Pistachio","Mocha",2014-09-02 15:17:00,"Female","63",63
"131","physiological_baboon","Vanilla","Rocky Road","Pistachio",2016-06-05 14:07:00,"Female","52",52
"132","amphitheatric_creature","Chocolate","Rocky Road","Pistachio",2015-07-30 02:55:00,"Male","72",72
"133","yellow_buck","Vanilla","Mocha","Fudge",2015-01-24 01:00:00,"Male","65",65
"134","antioptimistical_ringworm","Vanilla","Rocky Road","Mocha",2016-03-12 21:03:00,"Female","5.25",63
"135","leady_shibainu","Vanilla","Rocky Road","Pistachio",2014-09-02 15:17:00,"Female","65",65
"136","underage_hawaiianmonkseal","Chocolate","Fudge","Pistachio",2014-09-04 12:32:00,"Male","68.11",68.11
"137","convective_dogwoodtwigborer","Vanilla","Pistachio","Rocky Road",2016-02-05 02:03:00,"Male","178",178
"138","hippophobic_goose","Chocolate","Pistachio","Rocky Road",2016-01-25 08:15:00,"Male","5.8",69.6
"139","nonacculturated_beauceron","Chocolate","Fudge","Rocky Road",2015-04-05 13:18:00,"Female","5'2",62
"140","carnelian_gartersnake","Vanilla","Pistachio","Fudge",2014-09-02 15:16:00,"Female","63",63
"141","americium_guineafowl","Chocolate","Strawberry","Fudge",2015-06-14 15:20:00,"Male","25",25
"142","corduroy_warbler","Vanilla","Pistachio","Mocha",2015-11-24 10:39:00,"Male","192",192
"143","uninterested_ptarmigan","Vanilla","Fudge","Strawberry",2016-01-26 11:00:00,"Female","68",68
"144","sassy_nematode","Vanilla","Rocky Road","Fudge",2014-09-02 15:16:00,"Male","73",73
"145","antiviral_cow","Vanilla","Strawberry","Pistachio",2014-09-26 05:56:00,"Female","68",68
"146","haptephobic_gull","Chocolate","Strawberry","Rocky Road",2014-09-30 21:44:00,"Male","6.2",74.4
"147","crustaceous_irishdraughthorse","Vanilla","Strawberry","Mocha",2017-06-30 05:03:00,"Male","71",71
"148","ambigious_hornedtoad","Vanilla","Fudge","Rocky Road",2016-04-27 04:46:00,"Male","728,346",9082
"149","hotheaded_krill","Chocolate","Fudge","Mocha",2016-01-25 22:02:00,"Male","5'11",71
"150","stable_germanshepherd","Chocolate","Pistachio","Fudge",2016-01-26 10:15:00,"Male","73",73
"151","nonchurchgoing_nyala","Chocolate","Fudge","Strawberry",2015-01-09 15:52:00,"Male","68",68
"152","eventempered_birdofparadise","Chocolate","Strawberry","Mocha",2016-04-12 12:28:00,"Male","64",64
"153","selfconceited_swan","Chocolate","Rocky Road","Mocha",2015-05-01 15:16:00,"Female","64",64
"154","chromatnic_cock","Chocolate","Strawberry","Pistachio",2014-09-02 15:16:00,"Male","72",72
"155","selfteaching_magpie","Chocolate","Strawberry","Fudge",2014-12-29 17:07:00,"Male","66",66
"156","tattooed_fieldspaniel","Vanilla","Rocky Road","Mocha",2014-09-04 00:46:00,"Male","5'9''",69
"157","worried_blackfish","Chocolate","Rocky Road","Pistachio",2014-09-02 15:16:00,"Male","70",70
"158","tyrannical_coelacanth","Chocolate","Pistachio","Mocha",2015-11-28 16:16:00,"Male","5 11",71
"159","homey_chital","Chocolate","Pistachio","Strawberry",2014-09-03 18:48:00,"Male","71",71
"160","couped_frillneckedlizard","Chocolate","Fudge","Rocky Road",2014-12-15 02:17:00,"Male","170",170
"161","involved_beardeddragon","Chocolate","Strawberry","Pistachio",2014-09-02 15:17:00,"Male","68",68
"162","little_nandoo","Chocolate","Rocky Road","Mocha",2014-09-02 15:18:00,"Male","67",67
"163","warriorlike_americancrocodile","Chocolate","Pistachio","Strawberry",2015-07-09 17:18:00,"Male","168",168
"164","oversize_muntjac","Chocolate","Mocha","Rocky Road",2016-01-26 20:14:00,"Male","78",78
"165","minor_malamute","Chocolate","Mocha","Rocky Road",2015-05-11 01:08:00,"Male","66",66
"166","embracive_globefish","Chocolate","Mocha","Pistachio",2015-01-11 20:12:00,"Male","72",72
"167","restrictive_taruca","Vanilla","Strawberry","Mocha",2016-01-25 08:20:00,"Female","5.7",68.4
"168","reputable_lunamoth","Chocolate","Mocha","Strawberry",2014-12-10 00:29:00,"Male","66.4",66.4
"169","fabric_bluebottle","Chocolate","Strawberry","Mocha",2014-09-02 15:17:00,"Female","5'3",63
"170","bashful_tilefish","Chocolate","Fudge","Rocky Road",2014-10-08 19:19:00,"Female","68",68
"171","subterranean_arrowcrab","Vanilla","Strawberry","Fudge",2014-12-23 10:14:00,"Male","0.7",0.7
"172","womanly_asp","Chocolate","Mocha","Fudge",2016-01-26 23:20:00,"Male","71",71
"173","derivative_europeanfiresalamander","Chocolate","Fudge","Strawberry",2014-09-02 15:18:00,"Female","64",64
"174","gymnasial_puppy","Vanilla","Fudge","Mocha",2015-09-08 06:42:00,"Male","73.22",73.22
"175","nonritualistic_sheep","Chocolate","Mocha","Rocky Road",2014-09-02 15:16:00,"Male","68.5",68.5
"176","naggy_annashummingbird","Chocolate","Pistachio","Strawberry",2014-09-02 15:16:00,"Male","72",72
"177","astronomical_atlanticspadefish","Vanilla","Pistachio","Strawberry",2014-09-02 15:17:00,"Male","70",70
"178","odourless_fiddlercrab","Vanilla","Rocky Road","Strawberry",2015-03-21 23:06:00,"Male","5.5",66
"179","heedful_rattail","Chocolate","Fudge","Rocky Road",2015-05-09 12:58:00,"Male","69",69
"180","tridymite_blackcrappie","Vanilla","Strawberry","Mocha",2015-06-30 12:56:00,"Male","70",70
"181","unworthy_atlanticspadefish","Vanilla","Rocky Road","Mocha",2014-09-02 15:16:00,"Female","165cm",64.960665
"182","preeconomic_groundhog","Vanilla","Pistachio","Mocha",2016-03-30 03:32:00,"Male","160",160
"183","rayon_europeanfiresalamander","Chocolate","Strawberry","Mocha",2016-04-20 14:31:00,"Male","5.1",61.2
"184","sweet_fly","Chocolate","Rocky Road","Fudge",2014-09-02 15:16:00,"Male","73",73
"185","ittybitty_mousebird","Vanilla","Rocky Road","Fudge",2014-12-23 13:56:00,"Male","68.5",68.5
"186","unsightly_velvetworm","Vanilla","Rocky Road","Mocha",2014-09-02 15:17:00,"Female","62.5",62.5
"187","sericultural_equine","Vanilla","Strawberry","Fudge",2015-08-10 08:56:00,"Male","61.32",61.32
"188","dry_annashummingbird","Chocolate","Strawberry","Fudge",2016-05-20 01:36:00,"Male","179",179
"189","southernmost_copepod","Vanilla","Fudge","Mocha",2014-09-02 15:16:00,"Male","73",73
"190","humoristic_jellyfish","Vanilla","Fudge","Rocky Road",2014-09-04 03:43:00,"Male","59",59
"191","gastric_bettong","Vanilla","Mocha","Rocky Road",2014-09-02 15:16:00,"Female","62",62
"192","antigravitational_mongoose","Chocolate","Pistachio","Mocha",2014-12-30 10:16:00,"Female","63",63
"193","charitable_kob","Vanilla","Strawberry","Fudge",2015-03-14 06:33:00,"Male","1,70",82
"194","condensable_americanbittern","Chocolate","Rocky Road","Strawberry",2014-09-02 15:17:00,"Male","71",71
"195","susceptible_boaconstrictor","Vanilla","Pistachio","Fudge",2015-06-07 14:27:00,"Male","172",172
"196","pentangular_blacknorwegianelkhound","Chocolate","Pistachio","Strawberry",2016-01-26 11:24:00,"Female","60",60
"197","unsanitized_barracuda","Chocolate","Rocky Road","Pistachio",2014-09-02 15:16:00,"Female","66",66
"198","overburdened_kiskadee","Vanilla","Fudge","Pistachio",2014-09-21 02:30:00,"Male","66",66
"199","extranuclear_kinglet","Chocolate","Rocky Road","Pistachio",2014-09-06 17:01:00,"Male","5.8",69.6
"200","overdestructive_squirrel","Chocolate","Fudge","Mocha",2016-01-26 13:27:00,"Male","70",70
"201","errable_beauceron","Chocolate","Rocky Road","Fudge",2015-09-02 23:19:00,"Male","69",69
"202","everyday_gemsbuck","Chocolate","Pistachio","Rocky Road",2014-09-02 15:16:00,"Male","71",71
"203","paradoxal_kudu","Vanilla","Fudge","Mocha",2014-09-02 15:17:00,"Male","69",69
"204","gadgety_grub","Chocolate","Pistachio","Fudge",2016-01-25 08:15:00,"Male","71.65",71.65
"205","piratic_northernelephantseal","Vanilla","Strawberry","Mocha",2016-02-23 14:47:00,"Male","66",66
"206","hexed_mule","Chocolate","Rocky Road","Mocha",2014-10-24 06:33:00,"Male","68",68
"207","dissatisfied_snowmonkey","Chocolate","Strawberry","Mocha",2015-11-09 11:17:00,"Male","72",72
"208","weary_americansaddlebred","Chocolate","Fudge","Mocha",2014-09-02 13:59:00,"Male","68",68
"209","psychogenic_kakarikis","Vanilla","Strawberry","Pistachio",2015-02-09 14:31:00,"Male","5'6''",66
"210","continual_adeliepenguin","Vanilla","Strawberry","Pistachio",2014-09-02 15:17:00,"Male","74",74
"211","titanous_americancrow","Vanilla","Pistachio","Rocky Road",2016-01-26 10:01:00,"Male","68",68
"212","reliable_emperorshrimp","Vanilla","Fudge","Mocha",2015-07-24 12:38:00,"Male","22",22
"213","teal_starling","Vanilla","Strawberry","Rocky Road",2015-10-08 20:15:00,"Male","69",69
"214","frouzy_coyote","Chocolate","Mocha","Rocky Road",2014-09-02 15:16:00,"Male","69",69
"215","necrophagous_gibbon","Vanilla","Rocky Road","Pistachio",2014-09-02 15:17:00,"Female","65",65
"216","oriental_buckeyebutterfly","Chocolate","Strawberry","Pistachio",2014-09-02 15:16:00,"Male","70",70
"217","aqueous_polliwog","Chocolate","Strawberry","Mocha",2015-05-10 16:35:00,"Male","70",70
"218","dippy_cirriped","Chocolate","Mocha","Pistachio",2014-11-28 00:24:00,"Male","5.6",67.2
"219","smalltime_tragopan","Vanilla","Rocky Road","Strawberry",2016-05-16 07:03:00,"Male","6.3",75.6
"220","aware_mole","Chocolate","Mocha","Pistachio",2015-05-24 16:39:00,"Male","72",72
"221","cleanable_antlion","Vanilla","Strawberry","Mocha",2016-01-26 10:09:00,"Male","5.9",70.8
"222","taming_americancurl","Chocolate","Pistachio","Strawberry",2014-12-05 16:03:00,"Male","72.4",72.4
"223","haywire_albatross","Vanilla","Strawberry","Rocky Road",2015-06-03 01:01:00,"Female","59",59
"224","continuous_puppy","Chocolate","Fudge","Strawberry",2016-04-28 03:04:00,"Male","175",175
"225","georgiaite_chevrotain","Chocolate","Strawberry","Rocky Road",2016-01-14 14:33:00,"Male","72",72
"226","intercranial_uromastyxspinipes","Chocolate","Strawberry","Rocky Road",2015-03-01 16:08:00,"Male","68.5",68.5
"227","certificatory_mockingbird","Chocolate","Rocky Road","Strawberry",2015-05-14 17:23:00,"Male","72",72
"228","diamant_xiphias","Chocolate","Rocky Road","Fudge",2015-06-02 04:37:00,"Male","67",67
"229","wormish_rottweiler","Vanilla","Mocha","Pistachio",2016-01-21 13:38:00,"Male","6",72
"230","waterborne_macaque","Vanilla","Pistachio","Rocky Road",2016-01-26 09:49:00,"Female","62.5",62.5
"231","agate_deinonychus","Vanilla","Mocha","Strawberry",2014-09-03 23:55:00,"Male","11111",11111
"232","persnickety_seahog","Vanilla","Pistachio","Strawberry",2014-10-05 03:41:00,"Male","175",175
"233","paleopsychological_whippoorwill","Vanilla","Strawberry","Mocha",2017-05-25 11:31:00,"Female","162",162
"234","metamorphic_zander","Vanilla","Rocky Road","Fudge",2015-08-07 16:01:00,"Male","5.11",61.32
"235","fair_leafcutterant","Vanilla","Rocky Road","Strawberry",2015-03-05 15:28:00,"Male","168",168
"236","indigoid_pitbull","Vanilla","Rocky Road","Strawberry",2016-01-26 10:12:00,"Female","63",63
"237","therapeutic_mule","Vanilla","Pistachio","Mocha",2016-01-26 10:27:00,"Female","61",61
"238","uncheerful_gelding","Vanilla","Mocha","Strawberry",2014-12-08 11:24:00,"Male","178",178
"239","heartwhole_eft","Vanilla","Rocky Road","Pistachio",2015-06-08 17:30:00,"Male","34",34
"240","hasteless_hippopotamus","Chocolate","Rocky Road","Fudge",2016-01-18 09:49:00,"Male","5.8",69.6
"241","expedient_bass","Chocolate","Mocha","Pistachio",2016-05-13 10:19:00,"Male","68",68
"242","nonprophetical_songbird","Chocolate","Pistachio","Mocha",2015-12-02 17:22:00,"Male","70.866",70.866
"243","albinistic_africanporcupine","Chocolate","Fudge","Mocha",2015-07-01 17:38:00,"Female","65",65
"244","zincky_sableantelope","Vanilla","Rocky Road","Mocha",2015-01-10 14:40:00,"Male","70",70
"245","paediatric_galago","Chocolate","Fudge","Strawberry",2014-09-03 17:02:00,"Male","73",73
"246","existent_gartersnake","Vanilla","Mocha","Rocky Road",2015-09-29 12:26:00,"Male","170",170
"247","communicatory_americanwigeon","Vanilla","Fudge","Strawberry",2015-08-10 03:10:00,"Male","684",684
"248","intragovernmental_dikdik","Chocolate","Rocky Road","Strawberry",2014-10-16 03:51:00,"Male","71",71
"249","petulant_wildebeest","Vanilla","Pistachio","Strawberry",2015-10-19 16:06:00,"Male","71",71
"250","unirritable_junebug","Vanilla","Rocky Road","Pistachio",2014-12-31 03:10:00,"Male","71",71
"251","delectable_badger","Vanilla","Pistachio","Rocky Road",2014-09-07 01:16:00,"Female","60",60
"252","subsolar_stegosaurus","Vanilla","Strawberry","Mocha",2014-09-02 15:16:00,"Male","67",67
"253","befuddling_borer","Chocolate","Mocha","Fudge",2015-02-03 17:23:00,"Female","62",62
"254","misanthropic_nightingale","Vanilla","Rocky Road","Strawberry",2016-01-28 01:50:00,"Male","71",71
"255","unspecialized_iberianemeraldlizard","Chocolate","Pistachio","Rocky Road",2016-12-28 05:35:00,"Male","72.44",72.44
"256","tenderhearted_titi","Chocolate","Fudge","Strawberry",2016-01-25 22:55:00,"Male","76",76
"257","deep_urial","Chocolate","Pistachio","Strawberry",2016-01-27 06:29:00,"Female","64",64
"258","transcrystalline_dorado","Vanilla","Pistachio","Rocky Road",2015-08-11 16:49:00,"Male","6",72
"259","leftist_cheetah","Chocolate","Mocha","Rocky Road",2017-06-07 18:41:00,"Male","66",66
"260","archeological_asiantrumpetfish","Chocolate","Rocky Road","Strawberry",2014-10-10 16:09:00,"Male","65",65
"261","crazy_chevrotain","Chocolate","Rocky Road","Fudge",2017-03-05 12:31:00,"Male","180",180
"262","condensational_rook","Chocolate","Mocha","Pistachio",2014-09-07 20:53:00,"Male","300",300
